",""0,00001 "",""0,00005 "",""0,0001 "",""0,0005 "",""0,001"",""0,002"",""0,003"",""0,004"",""0,005"",0.006,"
"79,""47,9278"",""50,5917"",""51,8701 "",""55,2536 "",""56,9483 "",""58,8416 "",""60,0655 "",""60,9977 "",""61,7630 "",""62,4193 "",79"
"80,""48,7091"",""51,3973"",""52,6872 "",""56,1007 "",""57,8104 "",""59,7203 "",""60,9550 "",""61,8954 "",""62,6676 "",""63,3297 "",80"
"81,""49,4919"",""52,2042"",""53,5055 "",""56,9489 "",""58,6734 "",""60,5999 "",""61,8454 "",""62,7940 "",""63,5729 "",""64,2408 "",81"
"82,""50,2761"",""53,0124"",""54,3251 "",""57,7982 "",""59,5375 "",""61,4805 "",""62,7366 "",""63,6934 "",""64,4791 "",""65,1528 "",82"
"83,""51,0617"",""53,8219"",""55,1458 "",""58,6485 "",""60,4025 "",""62,3619 "",""63,6287 "",""64,5937 "",""65,3860 "",""66,0655 "",83"
"84,""51,8487"",""54,6326"",""55,9678 "",""59,4999 "",""61,2685 "",""63,2443 "",""64,5216 "",""65,4947 "",""66,2937 "",""66,9789 "",84"
"85,""52,6370"",""55,4445"",""56,7909 "",""60,3523 "",""62,1354 "",""64,1275 "",""65,4154 "",""66,3965 "",""67,2021 "",""67,8931 "",85"
"86,""53,4267"",""56,2577"",""57,6152 "",""61,2056 "",""63,0033 "",""65,0115 "",""66,3099 "",""67,2990 "",""68,1113 "",""68,8080 "",86"
"87,""54,2177"",""57,0720"",""58,4406 "",""62,0600 "",""63,8721 "",""65,8964 "",""67,2052 "",""68,2023 "",""69,0212 "",""69,7235 "",87"
"88,""55,0099"",""57,8875"",""59,2671 "",""62,9153 "",""64,7417 "",""66,7821 "",""68,1013 "",""69,1064 "",""69,9318 "",""70,6398 "",88"
"89,""55,8034"",""58,7041"",""60,0946 "",""63,7716 "",""65,6123 "",""67,6686 "",""68,9982 "",""70,0112 "",""70,8431 "",""71,5567 "",89"
"90,""56,5981"",""59,5218"",""60,9233 "",""64,6288 "",""66,4837 "",""68,5559 "",""69,8958 "",""70,9166 "",""71,7551 "",""72,4743 "",90"
"91,""57,3941"",""60,3407"",""61,7530 "",""65,4869 "",""67,3559 "",""69,4439 "",""70,7941 "",""71,8228 "",""72,6677 "",""73,3925 "",91"
"92,""58,1912"",""61,1606"",""62,5837 "",""66,3459 "",""68,2290 "",""70,3327 "",""71,6931 "",""72,7297 "",""73,5811 "",""74,3114 "",92"
"93,""58,9895"",""61,9816"",""63,4155 "",""67,2058 "",""69,1029 "",""71,2223 "",""72,5929 "",""73,6372 "",""74,4950 "",""75,2309 "",93"
"94,""59,7890"",""62,8037"",""64,2482 "",""68,0665 "",""69,9776 "",""72,1126 "",""73,4933 "",""74,5454 "",""75,4096 "",""76,1510 "",94"
"95,""60,5896"",""63,6268"",""65,0819 "",""68,9281 "",""70,8531 "",""73,0037 "",""74,3944 "",""75,4543 "",""76,3248 "",""77,0717 "",95"
"96,""61,3913"",""64,4508"",""65,9166 "",""69,7906 "",""71,7294 "",""73,8954 "",""75,2962 "",""76,3637 "",""77,2407 "",""77,9930 "",96"
"97,""62,1942"",""65,2759"",""66,7522 "",""70,6538 "",""72,6064 "",""74,7879 "",""76,1987 "",""77,2739 "",""78,1571 "",""78,9149 "",97"
"98,""62,9981"",""66,1020"",""67,5888 "",""71,5179 "",""73,4842 "",""75,6810 "",""77,1018 "",""78,1846 "",""79,0741 "",""79,8373 "",98"
"99,""63,8031"",""66,9290"",""68,4263 "",""72,3828 "",""74,3627 "",""76,5748 "",""78,0055 "",""79,0959 "",""79,9917 "",""80,7603 "",99"
"100,""64,6091"",""67,7570"",""69,2647 "",""73,2484 "",""75,2420 "",""77,4693 "",""78,9099 "",""80,0079 "",""80,9099 "",""81,6839 "",100"
