",""0,00001 "",""0,00005 "",""0,0001 "",""0,0005 "",""0,001"",""0,002"",""0,003"",""0,004"",""0,005"",0.006,"
"24,""8,7297"",""9,7341"",""10,2274 "",""11,5620 "",""12,2432 "",""13,0110 "",""13,5100 "",""13,8909 "",""14,2038 "",""14,4722 "",24"
"25,""9,3239"",""10,3680"",""10,8800 "",""12,2636 "",""12,9689 "",""13,7634 "",""14,2795 "",""14,6733 "",""14,9968 "",""15,2742 "",25"
"26,""9,9264"",""11,0095"",""11,5400 "",""12,9717 "",""13,7008 "",""14,5216 "",""15,0545 "",""15,4610 "",""15,7949 "",""16,0812 "",26"
"27,""10,5367"",""11,6582"",""12,2069 "",""13,6861 "",""14,4385 "",""15,2852 "",""15,8347 "",""16,2538 "",""16,5980 "",""16,8931 "",27"
"28,""11,1543"",""12,3137"",""12,8803 "",""14,4063 "",""15,1818 "",""16,0540 "",""16,6199 "",""17,0514 "",""17,4057 "",""17,7094 "",28"
"29,""11,7789"",""12,9757"",""13,5600 "",""15,1321 "",""15,9304 "",""16,8277 "",""17,4097 "",""17,8534 "",""18,2177 "",""18,5300 "",29"
"30,""12,4102"",""13,6438"",""14,2456 "",""15,8632 "",""16,6839 "",""17,6060 "",""18,2039 "",""18,6597 "",""19,0339 "",""19,3546 "",30"
"31,""13,0477"",""14,3177"",""14,9367 "",""16,5992 "",""17,4420 "",""18,3887 "",""19,0023 "",""19,4700 "",""19,8540 "",""20,1830 "",31"
"32,""13,6913"",""14,9972"",""15,6332 "",""17,3400 "",""18,2047 "",""19,1755 "",""19,8047 "",""20,2841 "",""20,6777 "",""21,0150 "",32"
"33,""14,3406"",""15,6820"",""16,3348 "",""18,0854 "",""18,9716 "",""19,9663 "",""20,6108 "",""21,1019 "",""21,5050 "",""21,8504 "",33"
"34,""14,9954"",""16,3718"",""17,0412 "",""18,8350 "",""19,7426 "",""20,7609 "",""21,4205 "",""21,9231 "",""22,3356 "",""22,6891 "",34"
"35,""15,6555"",""17,0665"",""17,7523 "",""19,5888 "",""20,5174 "",""21,5591 "",""22,2337 "",""22,7476 "",""23,1694 "",""23,5309 "",35"
"36,""16,3206"",""17,7659"",""18,4678 "",""20,3465 "",""21,2960 "",""22,3607 "",""23,0501 "",""23,5753 "",""24,0063 "",""24,3756 "",36"
"37,""16,9905"",""18,4696"",""19,1876 "",""21,1080 "",""22,0781 "",""23,1656 "",""23,8697 "",""24,4060 "",""24,8461 "",""25,2232 "",37"
"38,""17,6650"",""19,1776"",""19,9115 "",""21,8731 "",""22,8636 "",""23,9737 "",""24,6922 "",""25,2396 "",""25,6887 "",""26,0735 "",38"
"39,""18,3440"",""19,8897"",""20,6392 "",""22,6417 "",""23,6523 "",""24,7847 "",""25,5177 "",""26,0759 "",""26,5340 "",""26,9265 "",39"
"40,""19,0273"",""20,6058"",""21,3708 "",""23,4136 "",""24,4442 "",""25,5987 "",""26,3459 "",""26,9149 "",""27,3818 "",""27,7819 "",40"
"41,""19,7147"",""21,3256"",""22,1059 "",""24,1888 "",""25,2391 "",""26,4155 "",""27,1767 "",""27,7564 "",""28,2321 "",""28,6397 "",41"
"42,""20,4061"",""22,0491"",""22,8446 "",""24,9670 "",""26,0369 "",""27,2350 "",""28,0101 "",""28,6004 "",""29,0848 "",""29,4998 "",42"
"43,""21,1014"",""22,7761"",""23,5867 "",""25,7483 "",""26,8374 "",""28,0570 "",""28,8460 "",""29,4468 "",""29,9397 "",""30,3621 "",43"
"44,""21,8003"",""23,5066"",""24,3319 "",""26,5323 "",""27,6407 "",""28,8816 "",""29,6842 "",""30,2954 "",""30,7969 "",""31,2266 "",44"
"45,""22,5028"",""24,2402"",""25,0804 "",""27,3192 "",""28,4466 "",""29,7085 "",""30,5247 "",""31,1462 "",""31,6562 "",""32,0931 "",45"
"46,""23,2088"",""24,9771"",""25,8318 "",""28,1088 "",""29,2549 "",""30,5377 "",""31,3674 "",""31,9991 "",""32,5175 "",""32,9616 "",46"
"47,""23,9181"",""25,7170"",""26,5862 "",""28,9009 "",""30,0657 "",""31,3692 "",""32,2122 "",""32,8541 "",""33,3807 "",""33,8320 "",47"
"48,""24,6307"",""26,4599"",""27,3435 "",""29,6955 "",""30,8789 "",""32,2029 "",""33,0591 "",""33,7110 "",""34,2459 "",""34,7042 "",48"
"49,""25,3464"",""27,2057"",""28,1035 "",""30,4926 "",""31,6943 "",""33,0387 "",""33,9080 "",""34,5699 "",""35,1129 "",""35,5783 "",49"
"50,""26,0652"",""27,9543"",""28,8661 "",""31,2920 "",""32,5119 "",""33,8764 "",""34,7588 "",""35,4306 "",""35,9818 "",""36,4540 "",50"
